date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:13	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-6074310187a8b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/germany.svg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/germany.svg	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:14	690/690	---M--	200	added ('OK')	image/svg+xml	etag:%222b2-6074310187a8b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/italy.svg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/italy.svg	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:14	702/702	---M--	200	added ('OK')	image/svg+xml	etag:%222be-60743101899cb%22	https://themesbrand.com/velzon/html/default/assets/images/flags/russia.svg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/russia.svg	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:15	2483/2483	---M--	200	added ('OK')	image/svg+xml	etag:%229b3-6074310185b4b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/china.svg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/china.svg	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:15	428/428	---M--	200	added ('OK')	image/svg+xml	etag:%221ac-6074310186aeb%22	https://themesbrand.com/velzon/html/default/assets/images/flags/french.svg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/french.svg	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:16	259/259	---M--	200	added ('OK')	image/svg+xml	etag:%22103-6074310185b4b%22	https://themesbrand.com/velzon/html/default/assets/images/flags/ae.svg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/flags/ae.svg	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:16	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/github.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/github.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:17	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/bitbucket.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/bitbucket.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:17	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/dribbble.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/dribbble.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:18	772/772	---M--	200	added ('OK')	image/png	etag:%22304-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/dropbox.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/dropbox.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:18	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/mail_chimp.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:19	2691/2691	---M--	200	added ('OK')	image/png	etag:%22a83-6074310183c0b%22	https://themesbrand.com/velzon/html/default/assets/images/brands/slack.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/brands/slack.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:20	221819/221819	---M-Z	200	added ('OK')	text/html	etag:%223627b-609b6e514a33f-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-products.html	(from https://themesbrand.com/velzon/html/default/index.html)
